t_seconds,timestamp,kind,detail,magnitude
0.033,00:00.033,attention,MAIN_MONITOR_LEFT az=-12.5 el=-14.2 share=0.63,19.3688
0.467,00:00.467,subfixation,MAIN_MONITOR_CENTER az=-4.0 el=-13.0 share=0.50,8.5880
2.300,00:02.300,attention,DESK_MOUSE az=-15.2 el=-28.8 share=0.77,19.3350
2.833,00:02.833,subfixation,KEYBOARD_REGION az=-1.5 el=-33.2 share=0.74,14.4249
3.467,00:03.467,attention,MAIN_MONITOR_LOWER az=-4.7 el=-18.2 share=0.66,15.2698
4.067,00:04.067,blink,dur=182ms depth=0.97,0.9709
7.400,00:07.400,attention,CAMERA_LENS az=-0.4 el=+0.9 share=0.00,19.6473
8.733,00:08.733,head_yaw,"to=(-1.47,-0.38,+0.39)deg dur=0.88s",1.4741
10.100,00:10.100,blink,dur=186ms depth=0.99,0.9912
14.400,00:14.400,blink_partial,dur=183ms depth=0.70,0.7032
16.867,00:16.867,attention,MAIN_MONITOR_RIGHT az=+7.2 el=-10.3 share=0.41,13.5558
17.333,00:17.333,subfixation,MAIN_MONITOR_CENTER az=-2.0 el=-11.2 share=0.40,9.2749
18.167,00:18.167,blink,dur=220ms depth=0.97,0.9691
20.033,00:20.033,subfixation,MAIN_MONITOR_UPPER az=-5.4 el=-6.9 share=0.24,5.5199
21.200,00:21.200,state_change,IDLE_ATTENTIVE -> WAITING,0.0000
22.633,00:22.633,attention,MAIN_MONITOR_UPPER az=-3.2 el=-4.9 share=0.00,2.8971
22.967,00:22.967,subfixation,MAIN_MONITOR_CENTER az=-5.4 el=-13.1 share=0.55,8.4581
23.867,00:23.867,attention,CAMERA_LENS az=+0.6 el=+0.7 share=0.00,15.0203
24.500,00:24.500,blink,dur=198ms depth=1.00,0.9977
26.800,00:26.800,expression,cheek_tension peak=0.166 dur=2.15s,0.1656
27.267,00:27.267,blink,dur=230ms depth=1.00,0.9953
29.367,00:29.367,state_change,WAITING -> IDLE_RELAXED,0.0000
