t_seconds,timestamp,kind,detail,magnitude
88.533,01:28.533,blink,dur=196ms depth=0.99,0.9888
88.933,01:28.933,subfixation,MAIN_MONITOR_LEFT az=-13.9 el=-12.5 share=0.62,9.3549
91.533,01:31.533,state_change,IDLE_ATTENTIVE -> READING,0.0000
92.000,01:32.000,attention,MAIN_MONITOR_CENTER az=-5.7 el=-12.2 share=0.72,8.1896
92.433,01:32.433,subfixation,MAIN_MONITOR_LOWER az=-5.5 el=-19.1 share=0.88,6.9017
95.700,01:35.700,subfixation,MAIN_MONITOR_UPPER az=-2.7 el=-6.9 share=0.22,12.4821
98.100,01:38.100,subfixation,MAIN_MONITOR_CENTER az=-6.2 el=-11.2 share=0.67,5.5039
100.900,01:40.900,subfixation,MAIN_MONITOR_LOWER az=-7.0 el=-20.7 share=0.88,9.5696
101.633,01:41.633,subfixation,MAIN_MONITOR_LEFT az=-12.9 el=-11.6 share=0.84,10.7944
103.467,01:43.467,attention,MAIN_MONITOR_UPPER az=-4.5 el=-6.1 share=0.24,10.0073
103.967,01:43.967,subfixation,MAIN_MONITOR_CENTER az=-4.0 el=-12.5 share=0.70,6.4150
104.933,01:44.933,state_change,READING -> IDLE_RELAXED,0.0000
107.133,01:47.133,subfixation,MAIN_MONITOR_LOWER az=-5.5 el=-19.1 share=0.59,6.7771
108.933,01:48.933,expression,mouth_settle peak=0.174 dur=1.64s,0.1740
111.533,01:51.533,subfixation,MAIN_MONITOR_RIGHT az=+6.7 el=-9.9 share=0.32,15.2498
112.833,01:52.833,blink,dur=203ms depth=0.97,0.9691
113.267,01:53.267,attention,MAIN_MONITOR_LEFT az=-15.5 el=-12.9 share=0.57,22.3753
114.200,01:54.200,attention,MAIN_MONITOR_UPPER az=-4.4 el=-5.7 share=0.12,13.1814
114.700,01:54.700,subfixation,MAIN_MONITOR_CENTER az=-6.6 el=-12.2 share=0.43,6.7978
115.767,01:55.767,subfixation,MAIN_MONITOR_UPPER az=-3.2 el=-4.6 share=0.00,8.2682
117.100,01:57.100,blink,dur=180ms depth=0.98,0.9755
117.533,01:57.533,subfixation,MAIN_MONITOR_LOWER az=-6.1 el=-18.2 share=0.57,13.8919
119.467,01:59.467,attention,MAIN_MONITOR_CENTER az=-5.4 el=-11.9 share=0.41,6.3517
119.800,01:59.800,subfixation,MAIN_MONITOR_LOWER az=-4.9 el=-20.0 share=0.61,8.1504
120.833,02:00.833,subfixation,MAIN_MONITOR_LEFT az=-15.7 el=-12.3 share=0.56,13.2962
121.800,02:01.800,state_change,IDLE_RELAXED -> CHECKING_CHAT,0.0000
122.367,02:02.367,subfixation,MAIN_MONITOR_RIGHT az=+6.7 el=-11.1 share=0.55,22.4215
122.933,02:02.933,blink_partial,dur=228ms depth=0.78,0.7782
126.133,02:06.133,state_change,CHECKING_CHAT -> IDLE_ATTENTIVE,0.0000
126.767,02:06.767,subfixation,MAIN_MONITOR_LOWER az=-5.2 el=-18.4 share=0.67,13.9904
127.833,02:07.833,subfixation,MAIN_MONITOR_LEFT az=-15.8 el=-13.0 share=0.68,11.9483
128.133,02:08.133,blink,dur=237ms depth=0.98,0.9808
129.367,02:09.367,subfixation,MAIN_MONITOR_RIGHT az=+8.5 el=-10.7 share=0.45,24.4625
132.500,02:12.500,subfixation,MAIN_MONITOR_LOWER az=-3.2 el=-18.2 share=0.65,13.9549
